"Suburb","Address","Rooms","Type","Price","Method","SellerG","Date","Distance","Postcode","Bedroom2","Bathroom","Car","Landsize","BuildingArea","CouncilArea","Lattitude","Longtitude"
"Abbotsford","78 Yarra St","3","h",1176500,"S","LITTLE","16-07-16",2.5,"3067","2","1","1",138,105,"Yarra",-37.8021,144.9965
"Abbotsford","196 Nicholson St","3","h",955000,"S","Collins","17-09-16",2.5,"3067","3","1","0",183,122.51724137931,"Yarra",-37.8022,144.9975
"Abbotsford","42 Valiant St","2","h",890000,"S","Biggin","17-09-16",2.5,"3067","2","1","1",150,73,"Yarra",-37.8011,145.0004
"Abbotsford","3/72 Charles St","4","h",1330000,"PI","Kay","18-03-17",2.5,"3067","4","2","2",780,135,"Yarra",-37.8073,144.9952
"Abbotsford","52a William St","2","h",1100000,"PI","Biggin","18-06-16",2.5,"3067","2","2","1",124,135,"Yarra",-37.8079,144.9977
"Abbotsford","49 Park St","2","h",1315000,"S","Marshall","19-11-16",2.5,"3067","2","1","0",147,85,"Yarra",-37.808,144.994
"Abbotsford","48 Abbotsford St","3","h",1447500,"PI","Nelson","22-08-16",2.5,"3067","3","3","1",166,174,"Yarra",-37.8017,145.0001
"Abbotsford","159 Park St","2","h",1135000,"S","Nelson","22-08-16",2.5,"3067","2","2","2",98,128,"Yarra",-37.8005,144.9952
"Abbotsford","49/84 Trenerry Cr","2","h",700000,"S","Biggin","23-04-16",2.5,"3067","2","1","1",194.368421052632,122.51724137931,"Yarra",-37.804665,144.99612
"Abbotsford","60 Stafford St","3","h",1290000,"S","Biggin","25-02-17",2.5,"3067","3","1","1",168,124,"Yarra",-37.8007,144.9958
"Abbotsford","47 Studley St","2","h",1180000,"S","Jellis","27-11-16",2.5,"3067","2","1","0",162,91,"Yarra",-37.8016,144.9956
"Abbotsford","45 Yarra St","3","h",1195000,"SP","Jellis","27-11-16",2.5,"3067","3","2","1",120,128,"Yarra",-37.8022,144.9954
"Abbotsford","200 Nicholson St","2","h",1012500,"S","Nelson","28-05-16",2.5,"3067","2","1","0",182,82,"Yarra",-37.8021,144.9976
"Abbotsford","27 Charles St","2","h",1030000,"S","Biggin","30-07-16",2.5,"3067","2","1","1",172,81,"Yarra",-37.8086,144.9946
"Abbotsford","40/80 Trenerry Cr","3","h",927000,"S","Biggin","30-07-16",2.5,"3067","3","1","1",194.368421052632,122.51724137931,"Yarra",-37.804665,144.99612
"Airport West","23 Hart St","2","h",603000,"S","Nelson","04-03-17",13.5,"3042","2","1","1",272,84,"Moonee Valley",-37.7294,144.888
"Airport West","1/37 Hillside Gr","3","h",600000,"S","Maddison","04-03-17",13.5,"3042","2","1","1",290,116,"Moonee Valley",-37.7273,144.8744
"Airport West","33 Bowes Av","5","h",1035000,"S","Airport","06-08-16",13.5,"3042","5","3","1",599.513157894737,150.161290322581,"Moonee Valley",-37.73225,144.883365
"Airport West","89 Bowes Av","4","h",960000,"S","Barry","06-08-16",13.5,"3042","4","2","1",599.513157894737,150.161290322581,"Moonee Valley",-37.73225,144.883365
"Airport West","45 Laurence Av","4","h",960000,"S","Nelson","06-08-16",13.5,"3042","4","2","1",599.513157894737,150.161290322581,"Moonee Valley",-37.73225,144.883365
"Airport West","54 Marshall Rd","3","h",720000,"S","Barry","06-08-16",13.5,"3042","2","1","1",620,150.161290322581,"Moonee Valley",-37.7173,144.8872
"Airport West","36 Roberts Rd","4","h",785000,"S","Considine","06-08-16",13.5,"3042","3","1","2",597,127,"Moonee Valley",-37.7259,144.8792
"Airport West","11 Harrington Rd","6","h",725000,"SP","Barry","07-05-16",13.5,"3042","6","3","2",976,186,"Moonee Valley",-37.7239,144.8735
"Airport West","81a Roberts Rd","3","h",680000,"VB","Nelson","08-10-16",13.5,"3042","3","1","1",599.513157894737,150.161290322581,"Moonee Valley",-37.73225,144.883365
"Airport West","3 Deidre Ct","3","h",895000,"PI","Rendina","10-09-16",13.5,"3042","3","1","6",1063,133,"Moonee Valley",-37.7249,144.8728
"Airport West","2/9 El Reno Cr","3","h",725000,"PI","Ray","12-11-16",13.5,"3042","3","1","1",599.513157894737,150.161290322581,"Moonee Valley",-37.73225,144.883365
"Airport West","92 McNamara Av","4","h",758000,"S","Jellis","13-08-16",13.5,"3042","4","2","1",599.513157894737,150.161290322581,"Moonee Valley",-37.73225,144.883365
"Airport West","20 Creswell Av","3","h",970000,"S","Barry","14-05-16",13.5,"3042","3","1","1",599.513157894737,150.161290322581,"Moonee Valley",-37.73225,144.883365
"Airport West","241 Parer Rd","5","h",755000,"PI","Propertyau","14-05-16",13.5,"3042","3","2","2",596,150.161290322581,"Moonee Valley",-37.7248,144.8699
"Airport West","71 Bowes Av","4","h",985000,"S","Barry","15-10-16",13.5,"3042","4","2","1",599.513157894737,150.161290322581,"Moonee Valley",-37.73225,144.883365
"Airport West","180 Parer Rd","3","h",830000,"S","Barry","16-04-16",13.5,"3042","3","1","2",971,113,"Moonee Valley",-37.7186,144.876
"Airport West","43 Hillside Gr","3","h",670000,"SP","Barry","16-07-16",13.5,"3042","3","2","2",657,150.161290322581,"Moonee Valley",-37.7269,144.8742
"Airport West","174 Parer Rd","2","h",675000,"S","Barry","16-07-16",13.5,"3042","2","1","1",612,100,"Moonee Valley",-37.7187,144.8765
"Airport West","138 Victory Rd","3","h",1042000,"S","Nelson","16-07-16",13.5,"3042","3","2","5",612,174,"Moonee Valley",-37.7173,144.8796
"Airport West","75 King St","3","h",910000,"S","McDonald","17-09-16",13.5,"3042","3","1","1",775,150.161290322581,"Moonee Valley",-37.7231,144.8835
"Airport West","6 Kittyhawk St","4","h",773000,"S","Brad","17-09-16",13.5,"3042","5","3","4",531,309,"Moonee Valley",-37.7263,144.8679
"Airport West","7 McNamara Av","3","h",715000,"S","Barry","17-09-16",13.5,"3042","3","1","1",599.513157894737,150.161290322581,"Moonee Valley",-37.73225,144.883365
"Airport West","478 Fullarton Rd","3","h",810000,"PI","Barry","18-03-17",13.5,"3042","3","3","2",555,192,"Moonee Valley",-37.7285,144.8694
"Airport West","144 Marshall Rd","3","h",715000,"S","Rendina","18-03-17",13.5,"3042","3","2","2",422,126,"Moonee Valley",-37.7164,144.8792
"Airport West","106 Parer Rd","3","h",790000,"S","Nelson","18-03-17",13.5,"3042","3","1","3",614,150.161290322581,"Moonee Valley",-37.7194,144.8827
"Airport West","10 Hilbert Rd","3","h",685000,"S","Barry","22-05-16",13.5,"3042","3","1","1",579,113,"Moonee Valley",-37.7226,144.8733
"Airport West","110 Halsey Rd","3","h",805000,"S","Barry","22-08-16",13.5,"3042","3","1","1",623,150.161290322581,"Moonee Valley",-37.7184,144.882
"Airport West","105a Victory Rd","3","h",612000,"S","Nelson","22-08-16",13.5,"3042","3","2","1",212,150.161290322581,"Moonee Valley",-37.7181,144.8824
"Airport West","117 Marshall Rd","3","h",662000,"S","Brad","23-04-16",13.5,"3042","3","1","2",612,150.161290322581,"Moonee Valley",-37.7169,144.8815
"Airport West","34 Moorna Dr","4","h",978000,"S","Nelson","24-09-16",13.5,"3042","4","3","2",532,150.161290322581,"Moonee Valley",-37.7263,144.869
"Airport West","33 North St","3","h",720000,"PI","Nelson","25-02-17",13.5,"3042","3","1","1",585,150.161290322581,"Moonee Valley",-37.72,144.878
"Airport West","2/137 McNamara Av","3","h",405000,"S","Ray","27-06-16",13.5,"3042","3","1","1",599.513157894737,150.161290322581,"Moonee Valley",-37.73225,144.883365
"Airport West","49 Roberts Rd","4","h",765000,"S","Prof.","27-11-16",13.5,"3042","4","1","2",509,150.161290322581,"Moonee Valley",-37.7261,144.8785
"Airport West","85 Roberts Rd","4","h",900000,"S","Harcourts","27-11-16",13.5,"3042","4","2","3",628,146,"Moonee Valley",-37.7256,144.8739
"Albert Park","105 Kerferd Rd","2","h",1275000,"S","hockingstuart","03-09-16",3.3,"3206","2","1","0",120,82,"Port Phillip",-37.8459,144.9555
"Albert Park","85 Richardson St","2","h",1455000,"S","Thomson","03-09-16",3.3,"3206","2","1","0",159,139.875,"Port Phillip",-37.845,144.9538
"Albert Park","112 Beaconsfield Pde","3","h",2850000,"PI","Buxton","04-03-17",3.3,"3206","3","2","0",211,198,"Port Phillip",-37.8481,144.9499
"Albert Park","94 Graham St","3","h",1850000,"S","Greg","04-03-17",3.3,"3206","3","2","0",128,133,"Port Phillip",-37.8452,144.9488
"Albert Park","396 Montague St","2","h",1436000,"S","RT","04-03-17",3.3,"3206","2","1","0",130,81,"Port Phillip",-37.8431,144.9565
"Albert Park","75 Graham St","2","h",1110000,"S","Marshall","06-08-16",3.3,"3206","1","1","0",147,139.875,"Port Phillip",-37.8444,144.9484
"Albert Park","54 Brooke St","2","h",1550000,"S","Sotheby's","07-05-16",3.3,"3206","2","1","1",167,139.875,"Port Phillip",-37.8405,144.9521
"Albert Park","104 Richardson St","4","h",2300000,"S","Marshall","07-05-16",3.3,"3206","4","2","1",153,180,"Port Phillip",-37.8447,144.9523
"Albert Park","1 Moubray St","3","h",1800000,"VB","Greg","07-11-16",3.3,"3206","3","2","1",132,159,"Port Phillip",-37.8415,144.952
"Albert Park","114 Victoria Av","3","h",2485000,"S","Cayzer","08-10-16",3.3,"3206","3","1","0",194.086021505376,139.875,"Port Phillip",-37.8452,144.9551
"Albert Park","29 Faussett St","2","h",2120000,"S","Greg","10-09-16",3.3,"3206","2","1","1",199,107,"Port Phillip",-37.8422,144.9554
"Albert Park","3 Herbert St","3","h",1800000,"VB","Cayzer","10-09-16",3.3,"3206","3","1","1",253,139.875,"Port Phillip",-37.8443,144.9579
"Albert Park","24 Kerferd Pl","3","h",1800000,"S","Marshall","10-09-16",3.3,"3206","3","2","1",90,122,"Port Phillip",-37.8421,144.9571
"Albert Park","44 Draper St","2","h",1810000,"PI","Greg","10-12-16",3.3,"3206","2","1","0",240,139.875,"Port Phillip",-37.8379,144.9539
"Albert Park","2 Dundas Pl","3","h",2615000,"S","Cayzer","10-12-16",3.3,"3206","3","2","1",177,181,"Port Phillip",-37.8415,144.9585
"Albert Park","23 Finlay St","5","h",2100000,"S","Greg","10-12-16",3.3,"3206","5","2","1",237,139.875,"Port Phillip",-37.8436,144.9557
"Albert Park","31 Richardson St","3","h",1300000,"S","hockingstuart","10-12-16",3.3,"3206","3","1","0",129,139.875,"Port Phillip",-37.8422,144.949
"Albert Park","60 Brooke St","2","h",1000000,"S","Cayzer","12-11-16",3.3,"3206","2","1","0",288,139.875,"Port Phillip",-37.8407,144.9523
"Albert Park","70 Barrett St","3","h",2575000,"S","Greg","15-10-16",3.3,"3206","3","2","1",228,139.875,"Port Phillip",-37.8445,144.9501
"Albert Park","65 Graham St","2","h",1322500,"S","Greg","15-10-16",3.3,"3206","2","1","0",149,98,"Port Phillip",-37.8443,144.9481
"Albert Park","364 Montague St","2","h",1562500,"S","Greg","15-10-16",3.3,"3206","2","1","0",141,83,"Port Phillip",-37.8424,144.9562
"Albert Park","86 Mills St","3","h",2000000,"VB","RT","16-04-16",3.3,"3206","3","2","1",211,147,"Port Phillip",-37.847,144.9575
"Albert Park","129 Kerferd Rd","3","h",1900000,"S","Greg","18-03-17",3.3,"3206","3","1","0",209,139.875,"Port Phillip",-37.8468,144.9546
"Albert Park","97 Page St","3","h",3010000,"S","Greg","18-03-17",3.3,"3206","3","2","0",147,146,"Port Phillip",-37.8473,144.9551
"Albert Park","55 Withers St","4","h",2800000,"VB","Cayzer","18-06-16",3.3,"3206","4","3","1",327,254,"Port Phillip",-37.8467,144.9475
"Albert Park","55 Merton St","3","h",2100000,"SP","Marshall","23-04-16",3.3,"3206","2","1","1",120,123,"Port Phillip",-37.8427,144.9546
"Albert Park","49 Page St","3","h",2000000,"PI","Marshall","24-09-16",3.3,"3206","3","1","1",238,131,"Port Phillip",-37.8461,144.9528
"Albert Park","115 Page St","4","h",4735000,"S","Marshall","25-02-17",3.3,"3206","4","2","1",330,207,"Port Phillip",-37.8477,144.9558
"Albert Park","32 Page St","2","h",1340000,"S","Greg","25-02-17",3.3,"3206","2","1","0",136,139.875,"Port Phillip",-37.846,144.9517
"Albert Park","34 Richardson St","3","h",1801000,"S","hockingstuart","25-02-17",3.3,"3206","3","1","1",202,139.875,"Port Phillip",-37.8429,144.9493
"Albert Park","22 Greig St","3","h",3755000,"S","Greg","26-07-16",3.3,"3206","3","2","2",325,139.875,"Port Phillip",-37.8413,144.95
"Albert Park","27 Barrett St","4","h",2140000,"S","Greg","27-06-16",3.3,"3206","3","2","1",183,145,"Port Phillip",-37.8434,144.9495
"Albert Park","44 Greig St","2","h",1750000,"S","Marshall","27-11-16",3.3,"3206","2","1","1",162,139.875,"Port Phillip",-37.8416,144.9488
"Albert Park","6 Brooke St","2","h",980000,"S","Greg","28-05-16",3.3,"3206","2","1","0",79,68,"Port Phillip",-37.8387,144.9519
"Albert Park","227a Danks St","3","h",2030000,"S","hockingstuart","28-08-16",3.3,"3206","3","2","0",152,139.875,"Port Phillip",-37.8488,144.9551
"Albert Park","17 Reed St","3","h",1740000,"PI","Marshall","28-08-16",3.3,"3206","3","2","2",147,134,"Port Phillip",-37.8448,144.9453
"Alphington","6 Smith St","4","h",2000000,"S","Brace","03-09-16",6.4,"3078","3","2","4",853,263,"Darebin",-37.7707,145.0318
"Alphington","5/6 Yarralea St","3","h",1110000,"S","Jellis","03-09-16",6.4,"3078","3","2","2",208,168.269230769231,"Yarra",-37.7854,145.0325
"Alphington","136A Fulham Rd","3","h",1492000,"S","Jellis","04-03-17",6.4,"3078","3","2","2",411,168.269230769231,"Darebin",-37.7713,145.0279
"Alphington","44 Shiers St","4","h",1717500,"S","Collins","08-10-16",6.4,"3078","4","2","1",599,203,"Darebin",-37.7717,145.031
"Alphington","83 Fulham Rd","5","h",2840000,"S","Nelson","12-06-16",6.4,"3078","5","4","4",809,165,"Darebin",-37.775,145.0268
"Alphington","69 Lucerne Cr","3","h",1480000,"S","Nelson","13-08-16",6.4,"3078","3","1","2",530.166666666667,168.269230769231,"Darebin",-37.7747,145.02355
"Alphington","815 Heidelberg Rd","3","h",2000000,"PI","hockingstuart","15-10-16",6.4,"3078","3","3","2",686,168.269230769231,"Darebin",-37.78,145.0341
"Alphington","44 Naroon Rd","3","h",1540000,"S","Nelson","16-04-16",6.4,"3078","3","1","2",592,168.269230769231,"Darebin",-37.7755,145.0288
"Alphington","10 Bennett St","4","h",1830000,"S","Nelson","19-11-16",6.4,"3078","4","2","2",606,112,"Darebin",-37.7743,145.0316
"Alphington","38 Bennett St","4","h",2100000,"S","Nelson","19-11-16",6.4,"3078","4","2","2",575,271,"Darebin",-37.7723,145.0319
"Alphington","2c Hamilton St","3","h",865000,"SP","hockingstuart","22-05-16",6.4,"3078","3","1","1",180,131,"Darebin",-37.7802,145.0243
"Alphington","17 Lowther St","3","h",1361000,"S","Collins","25-02-17",6.4,"3078","3","1","2",530.166666666667,168.269230769231,"Darebin",-37.7796,145.0285
"Alphington","13a Fulham Rd","3","h",1310000,"S","Jellis","26-07-16",6.4,"3078","3","1","2",530.166666666667,168.269230769231,"Darebin",-37.7747,145.02355
"Alphington","32/23 Coate Av","3","h",570000,"VB","Thomas","27-06-16",6.4,"3078","3","1","2",530.166666666667,168.269230769231,"Darebin",-37.7747,145.02355
"Alphington","22 Lowther St","3","h",1165000,"S","Barry","27-06-16",6.4,"3078","3","1","2",979,168.269230769231,"Yarra",-37.7792,145.029
"Alphington","11 Margaret Gr","4","h",1900000,"SP","McGrath","27-11-16",6.4,"3078","4","2","2",556,272,"Yarra",-37.7844,145.0225
"Alphington","6 Naroon Rd","3","h",1485000,"SP","McGrath","28-08-16",6.4,"3078","3","0","0",597,168.269230769231,"Darebin",-37.7781,145.0284
"Alphington","42 Shiers St","4","h",1950000,"S","Jellis","30-07-16",6.4,"3078","4","2","3",589,210,"Darebin",-37.7719,145.0309
"Altona","158 Queen St","3","h",520000,"VB","Greg","03-09-16",13.8,"3018","3","2","1",352,242,"Hobsons Bay",-37.87,144.825
"Altona","59 Bracken Gr","5","h",1525000,"S","Greg","03-12-16",13.8,"3018","5","3","3",729,268,"Hobsons Bay",-37.8721,144.8105
"Altona","4 Blyth St","3","h",1120000,"S","Barlow","04-03-17",13.8,"3018","3","1","2",506,120,"Hobsons Bay",-37.8693,144.8375
"Altona","20 Linnet St","4","h",780000,"PI","Sweeney","04-06-16",13.8,"3018","4","1","4",655,169.25,"Hobsons Bay",-37.868,144.8154
"Altona","29 Rose St","4","h",1780000,"SP","Greg","04-06-16",13.8,"3018","4","3","6",1057,220,"Hobsons Bay",-37.8681,144.819
"Altona","156 Maidstone St","3","h",660000,"VB","Greg","07-05-16",13.8,"3018","3","1","1",602,123,"Hobsons Bay",-37.8616,144.8116
"Altona","11 Keeshan Ct","3","h",683500,"S","Greg","07-11-16",13.8,"3018","3","1","1",530,169.25,"Hobsons Bay",-37.8594,144.817
"Altona","261 Queen St","4","h",1070000,"S","Barlow","10-09-16",13.8,"3018","4","2","2",695,169.25,"Hobsons Bay",-37.8733,144.8147
"Altona","24 Wren St","4","h",845000,"S","hockingstuart","11-02-17",13.8,"3018","4","1","2",745,130,"Hobsons Bay",-37.8658,144.8155
"Altona","54 Seves St","3","h",766000,"S","Williams","11-03-17",13.8,"3018","3","1","2",625.387096774194,169.25,"Hobsons Bay",-37.867115,144.81926
"Altona","164 Maidstone St","3","h",635000,"S","Sweeney","14-05-16",13.8,"3018","3","1","4",625,169.25,"Hobsons Bay",-37.8611,144.8114
"Altona","22 Fenfield St","3","h",678000,"S","hockingstuart","16-04-16",13.8,"3018","3","1","2",606,87,"Hobsons Bay",-37.8608,144.8124
"Altona","1/28 Seves St","3","h",712000,"S","hockingstuart","17-09-16",13.8,"3018","3","1","2",363,169.25,"Hobsons Bay",-37.8674,144.8375
"Altona","27 McIntyre Dr","3","h",840000,"SP","Greg","18-03-17",13.8,"3018","3","2","2",534,136,"Hobsons Bay",-37.86,144.8245
"Altona","4 Boyd St","3","h",980000,"S","Barlow","19-11-16",13.8,"3018","3","1","2",724,169.25,"Hobsons Bay",-37.8672,144.817
"Altona","5a Emu Av","4","h",1000000,"S","Barlow","19-11-16",13.8,"3018","4","2","2",625.387096774194,169.25,"Hobsons Bay",-37.867115,144.81926
"Altona","185 Queen St","3","h",880000,"PI","Barlow","22-08-16",13.8,"3018","3","3","1",577,169.25,"Hobsons Bay",-37.8699,144.8235
"Altona","51 Millers Rd","4","h",1030000,"S","Barlow","25-02-17",13.8,"3018","4","1","0",797,169.25,"Hobsons Bay",-37.8663,144.8387
"Altona","12 Ransom Av","3","h",685000,"S","Barlow","25-02-17",13.8,"3018","3","1","2",625.387096774194,169.25,"Hobsons Bay",-37.867115,144.81926
"Altona","24 McIntyre Dr","3","h",753000,"S","Barlow","27-06-16",13.8,"3018","3","2","2",529,169.25,"Hobsons Bay",-37.8612,144.8247
"Altona","104 Maidstone St","2","h",857000,"SP","hockingstuart","27-11-16",13.8,"3018","2","2","1",675,100,"Hobsons Bay",-37.8653,144.8129
"Altona","49 Bent St","3","h",1500000,"S","Barlow","28-05-16",13.8,"3018","3","1","1",929,169.25,"Hobsons Bay",-37.8651,144.832
"Altona","15 Kookaburra St","3","h",900000,"S","Sweeney","28-05-16",13.8,"3018","3","1","4",697,169.25,"Hobsons Bay",-37.871,144.8075
"Altona","219 Civic Pde","3","h",740000,"S","Greg","28-08-16",13.8,"3018","3","1","2",604,169.25,"Hobsons Bay",-37.8631,144.8195
"Altona","3 Curtin Ct","4","h",931000,"S","Sweeney","28-08-16",13.8,"3018","4","2","3",532,169.25,"Hobsons Bay",-37.8637,144.8365
"Altona","2/60 David St","2","h",535600,"SP","Compton","30-07-16",13.8,"3018","2","1","1",154,91,"Hobsons Bay",-37.8646,144.8272
"Altona North","45 Hearn St","5","h",1085000,"S","FN","03-09-16",11.1,"3025","5","3","6",592,251,"Hobsons Bay",-37.8388,144.8567
"Altona North","4 Knapp St","3","h",781000,"S","Jas","03-09-16",11.1,"3025","3","1","2",533,117,"Hobsons Bay",-37.8291,144.835
"Altona North","21 Hatherley Gr","3","h",750000,"SP","Jas","04-03-17",11.1,"3025","3","1","3",554,166.684210526316,"Hobsons Bay",-37.8449,144.85
"Altona North","153 Mills St","3","h",1405000,"S","Sweeney","04-03-17",11.1,"3025","3","1","3",655,166.684210526316,"Hobsons Bay",-37.8338,144.8562
"Altona North","33 Carthy St","3","h",683000,"S","FN","04-06-16",11.1,"3025","3","1","2",534,167,"Hobsons Bay",-37.8284,144.8355
"Altona North","16 Harris St","3","h",623000,"S","Sweeney","04-06-16",11.1,"3025","3","1","3",540,166.684210526316,"Hobsons Bay",-37.8267,144.8368
"Altona North","1/95 Mills St","3","h",588000,"S","Williams","07-05-16",11.1,"3025","3","1","1",328,118,"Hobsons Bay",-37.838,144.8555
"Altona North","5 Binns St","3","h",710000,"PI","Village","07-11-16",11.1,"3025","3","1","3",540,116,"Hobsons Bay",-37.8294,144.8378
"Altona North","25 Allan St","4","h",875000,"SP","Jas","08-10-16",11.1,"3025","3","1","4",559,169,"Hobsons Bay",-37.8448,144.8529
"Altona North","21 Hatherley Gr","3","h",700000,"VB","Jas","10-12-16",11.1,"3025","3","1","3",554,166.684210526316,"Hobsons Bay",-37.8449,144.85
"Altona North","21 Allan St","4","h",650000,"SP","Williams","12-06-16",11.1,"3025","4","1","4",558,166.684210526316,"Hobsons Bay",-37.8451,144.8529
"Altona North","2/36 May St","3","h",675000,"S","hockingstuart","14-05-16",11.1,"3025","3","2","2",171,109,"Hobsons Bay",-37.8337,144.8554
"Altona North","11 Beevers St","3","h",708000,"S","Greg","15-10-16",11.1,"3025","3","1","2",585,97,"Hobsons Bay",-37.8258,144.8523
"Altona North","10 Murphy St","4","h",965000,"SP","Gunn&Co","15-10-16",11.1,"3025","4","1","4",851,166.684210526316,"Hobsons Bay",-37.8345,144.8444
"Altona North","16 Beevers St","3","h",680000,"S","Sweeney","19-11-16",11.1,"3025","3","1","3",551,166.684210526316,"Hobsons Bay",-37.8254,144.8514
"Altona North","21 Neal Ct","3","h",770000,"SP","hockingstuart","19-11-16",11.1,"3025","3","1","3",602,603,"Hobsons Bay",-37.8327,144.8451
"Altona North","31 Duosa Rd","3","h",923000,"S","Greg","22-05-16",11.1,"3025","3","1","2",740,166.684210526316,"Hobsons Bay",-37.8269,144.8455
"Altona North","252 Millers Rd","4","h",693000,"SP","Raine&Horne","22-05-16",11.1,"3025","4","2","4",315,170,"Hobsons Bay",-37.8391,144.8467
"Altona North","1/156 Chambers Rd","3","h",620000,"SP","Hunter","22-08-16",11.1,"3025","5","2","2",276,100,"Hobsons Bay",-37.8262,144.8443
"Altona North","2 Gadsden St","3","h",728500,"S","Jas","22-08-16",11.1,"3025","3","1","1",531,157,"Hobsons Bay",-37.8277,144.8385
"Altona North","24 Hansen St","3","h",931000,"S","hockingstuart","22-08-16",11.1,"3025","3","2","1",590,160,"Hobsons Bay",-37.8382,144.8649
"Altona North","4 Prismall St","3","h",988000,"S","Sweeney","22-08-16",11.1,"3025","3","1","4",715,166.684210526316,"Hobsons Bay",-37.8423,144.8632
"Altona North","122 McIntosh Rd","3","h",590000,"S","Village","23-04-16",11.1,"3025","3","1","2",561,166.684210526316,"Hobsons Bay",-37.8444,144.8491
"Altona North","35 May St","2","h",610000,"S","RT","24-09-16",11.1,"3025","2","1","2",691,166.684210526316,"Hobsons Bay",-37.834,144.8553
"Altona North","6 Hill St","3","h",815000,"S","hockingstuart","25-02-17",11.1,"3025","3","2","3",555,130,"Hobsons Bay",-37.8318,144.8388
"Altona North","84 May St","4","h",970000,"S","Greg","25-02-17",11.1,"3025","4","1","2",708,166.684210526316,"Hobsons Bay",-37.833,144.8494
"Altona North","155 Chambers Rd","4","h",760000,"S","Hunter","27-06-16",11.1,"3025","4","1","3",668,166.684210526316,"Hobsons Bay",-37.8262,144.8439
"Altona North","5 Cresser St","4","h",1200000,"SP","RT","27-11-16",11.1,"3025","4","1","4",633,158,"Hobsons Bay",-37.8375,144.8541
"Altona North","107 McIntosh Rd","3","h",700000,"SP","Hunter","27-11-16",11.1,"3025","3","1","1",557,166.684210526316,"Hobsons Bay",-37.8441,144.8505
"Altona North","10 Knapp St","3","h",625000,"PI","Hunter","28-05-16",11.1,"3025","3","1","1",536,166.684210526316,"Hobsons Bay",-37.8285,144.8351
"Armadale","28 Lambeth Av","3","h",2675000,"S","Marshall","03-12-16",6.3,"3143","3","1","2",399.730769230769,176.366666666667,"Stonnington",-37.8566,145.017995
"Armadale","7 Llaneast St","3","h",1939000,"S","Jellis","03-12-16",6.3,"3143","3","2","2",296,150,"Stonnington",-37.8614,145.0274
"Armadale","65 Barkly Av","3","h",2050000,"S","Marshall","04-03-17",6.3,"3143","3","1","2",399.730769230769,176.366666666667,"Stonnington",-37.8566,145.017995
"Armadale","28 Cambridge St","3","h",1870000,"S","Hodges","04-03-17",6.3,"3143","3","1","1",217,116,"Stonnington",-37.8592,145.0182
"Armadale","12 Willis St","3","h",2050000,"S","Marshall","04-03-17",6.3,"3143","3","2","1",205,116,"Stonnington",-37.8574,145.0281
"Armadale","526 Orrong Rd","4","h",3000000,"VB","Jellis","04-06-16",6.3,"3143","4","2","2",1581,176.366666666667,"Stonnington",-37.858,145.0111
"Armadale","37 Barkly Av","2","h",1930000,"S","Jellis","06-08-16",6.3,"3143","2","1","2",399.730769230769,176.366666666667,"Stonnington",-37.8566,145.017995
