"Suburb","Address","Rooms","Type","Price","Method","SellerG","Date","Distance","Postcode","Bedroom2","Bathroom","Car","Landsize","BuildingArea","YearBuilt","CouncilArea","Lattitude","Longtitude"
"Ascot Vale","97 Walter St","3","h",1284000,"S","Woodards","04-03-17",5.9,"3032","3","1","2",623,176.48275862069,"1938","Moonee Valley",-37.7758,144.9089
"Ascot Vale","98 Epsom Rd","3","h",971000,"SP","Nelson","04-06-16",5.9,"3032","3","2","2",285,128,"1900","Moonee Valley",-37.775,144.9091
"Ascot Vale","8 Geddes St","2","h",710000,"PI","Nelson","04-06-16",5.9,"3032","2","1","1",214,77,"1890","Moonee Valley",-37.7776,144.9142
"Ascot Vale","75 Maribyrnong Rd","6","h",2425000,"PI","Brad","04-06-16",5.9,"3032","6","3","2",1014,435,"1887","Moonee Valley",-37.7721,144.9184
"Ascot Vale","119 Roseberry St","2","h",750000,"SP","Maddison","04-06-16",5.9,"3032","2","1","1",226,92,"1920","Moonee Valley",-37.7745,144.9093
"Ascot Vale","10 Fenton St","2","h",1053000,"S","Nelson","06-08-16",5.9,"3032","2","1","1",269,109,"1900","Moonee Valley",-37.7748,144.929
"Ascot Vale","10 McCully St","3","h",1377000,"S","Nelson","06-08-16",5.9,"3032","3","1","1",417,168,"1900","Moonee Valley",-37.7756,144.9208
"Ascot Vale","120 Epsom Rd","3","h",970000,"S","Brad","07-05-16",5.9,"3032","3","1","2",350,125,"1904","Moonee Valley",-37.7759,144.91
"Ascot Vale","63 Kent St","2","h",751000,"PI","Nelson","07-05-16",5.9,"3032","2","1","1",118,79,"1890","Moonee Valley",-37.7807,144.9288
"Ascot Vale","4 The Parade","2","h",950000,"SP","Raine","07-05-16",5.9,"3032","2","1","1",173,102,"1900","Moonee Valley",-37.7731,144.9206
"Ascot Vale","41 Monash St","3","h",1230000,"S","Nelson","08-10-16",5.9,"3032","4","1","2",594,148,"1960","Moonee Valley",-37.7819,144.9064
"Ascot Vale","51 Francis St","2","h",770000,"PI","Nelson","10-09-16",5.9,"3032","2","1","1",226,87,"1900","Moonee Valley",-37.7774,144.9186
"Ascot Vale","33 Dalgety Dr","3","h",960000,"S","Walshe","10-12-16",5.9,"3032","3","2","2",229,176.48275862069,"2011","Moonee Valley",-37.7778,144.9065
"Ascot Vale","12 Mirams St","4","h",890000,"SP","Raine","10-12-16",5.9,"3032","4","1","1",300,185,"1890","Moonee Valley",-37.7766,144.9143
"Ascot Vale","78 The Parade","3","h",1440000,"S","Nelson","11-02-17",5.9,"3032","3","1","1",487,131,"1900","Moonee Valley",-37.7725,144.9146
"Ascot Vale","2 Farncomb St","3","h",801000,"S","Jellis","12-11-16",5.9,"3032","3","1","2",431,176.48275862069,"1950","Moonee Valley",-37.781,144.9207
"Ascot Vale","26 Newsom St","3","h",1000000,"PI","Brad","12-11-16",5.9,"3032","3","2","2",440,120,"1955","Moonee Valley",-37.7746,144.9031
"Ascot Vale","8 Pentland St","3","h",1435000,"S","Nelson","12-11-16",5.9,"3032","3","2","2",532,147,"1950","Moonee Valley",-37.7737,144.904
"Ascot Vale","52 Monash St","3","h",1425000,"PI","Jellis","13-08-16",5.9,"3032","3","2","2",495,139,"1920","Moonee Valley",-37.7821,144.9055
"Ascot Vale","58 Fenton St","4","h",1340000,"S","Nelson","14-05-16",5.9,"3032","3","2","2",683,232,"1978","Moonee Valley",-37.775,144.932
"Ascot Vale","70 Munro St","3","h",955000,"S","Brad","14-05-16",5.9,"3032","3","1","1",263,117,"1910","Moonee Valley",-37.7753,144.9116
"Ascot Vale","125 Epsom Rd","4","h",1100000,"VB","Nelson","15-10-16",5.9,"3032","4","2","5",559,195,"1920","Moonee Valley",-37.7791,144.9136
"Ascot Vale","7 Angler Pde","4","h",1640000,"S","Raine","16-04-16",5.9,"3032","4","3","2",562,204,"1890","Moonee Valley",-37.782,144.903
"Ascot Vale","26 Ayr St","6","h",1430000,"S","Nelson","16-04-16",5.9,"3032","4","2","1",461,286,"1900","Moonee Valley",-37.78,144.9295
"Ascot Vale","57 The Parade","3","h",940000,"S","Nelson","16-04-16",5.9,"3032","3","3","1",491,127,"1950","Moonee Valley",-37.7727,144.9136
"Ascot Vale","62 Mirams St","3","h",890000,"SP","Brad","16-07-16",5.9,"3032","3","1","1",242,110,"1920","Moonee Valley",-37.7765,144.9114
"Ascot Vale","67 Hurtle St","3","h",1180000,"SP","Brad","17-09-16",5.9,"3032","3","2","2",617,149,"1930","Moonee Valley",-37.7742,144.906
"Ascot Vale","95 Walter St","4","h",1480000,"S","Raine","17-09-16",5.9,"3032","4","2","2",597,180,"1939","Moonee Valley",-37.7757,144.9088
"Ascot Vale","21A Geddes St","3","h",1037500,"S","Alexkarbon","19-11-16",5.9,"3032","3","1","2",506,110,"1920","Moonee Valley",-37.7779,144.9133
"Ascot Vale","43 Bloomfield Rd","4","h",1430000,"S","Nelson","22-05-16",5.9,"3032","4","2","0",418,158,"1900","Moonee Valley",-37.7766,144.9187
"Ascot Vale","21 Middle St","3","h",1130000,"S","Nelson","23-04-16",5.9,"3032","3","2","1",272,157,"1900","Moonee Valley",-37.7774,144.928
"Ascot Vale","78 Francis St","3","h",1135000,"S","Brad","24-09-16",5.9,"3032","3","1","1",296,104,"1910","Moonee Valley",-37.777,144.9176
"Ascot Vale","25 Geddes St","4","h",950000,"PI","Nelson","24-09-16",5.9,"3032","4","2","1",298,147,"1920","Moonee Valley",-37.7778,144.9131
"Ascot Vale","15 Mirams St","4","h",1345000,"S","Jellis","25-02-17",5.9,"3032","4","1","1",552,155,"1920","Moonee Valley",-37.7769,144.9138
"Ascot Vale","44 Walter St","3","h",1381500,"S","Barry","25-02-17",5.9,"3032","3","2","2",416,168,"1900","Moonee Valley",-37.7727,144.9055
"Ascot Vale","25 Dalgety Dr","3","h",940000,"S","Jellis","26-07-16",5.9,"3032","3","2","2",285,172,"2011","Moonee Valley",-37.7778,144.9061
"Ascot Vale","7 Dalgety Dr","3","h",995000,"S","Nelson","26-07-16",5.9,"3032","3","2","1",314,177,"2010","Moonee Valley",-37.7778,144.9042
"Ascot Vale","6 Waller Ct","3","h",786000,"S","Brad","26-07-16",5.9,"3032","3","2","1",576,120,"1940","Moonee Valley",-37.7816,144.9217
"Ascot Vale","17 Ascot St","2","h",705000,"PI","Nelson","27-06-16",5.9,"3032","2","1","3",252,108,"1910","Moonee Valley",-37.7825,144.9206
"Ascot Vale","73 Kent St","2","h",760000,"PI","Nelson","27-06-16",5.9,"3032","2","1","1",124,77,"1900","Moonee Valley",-37.7807,144.9285
"Ascot Vale","32 Geddes St","4","h",1110000,"PI","Nelson","27-11-16",5.9,"3032","4","2","1",349,176.48275862069,"1920","Moonee Valley",-37.7775,144.913
"Ascot Vale","1 Bloomfield Rd","3","h",1305000,"S","Barry","28-05-16",5.9,"3032","2","1","1",278,166,"1900","Moonee Valley",-37.7768,144.9223
"Ascot Vale","58 Bloomfield Rd","3","h",1215000,"S","Stockdale","28-08-16",5.9,"3032","3","1","1",452,175,"1960","Moonee Valley",-37.7762,144.9174
"Ascot Vale","5 Doncaster St","4","h",1705000,"S","Jellis","30-07-16",5.9,"3032","4","2","4",598,273,"2012","Moonee Valley",-37.7774,144.9104
"Ashburton","61 Dent St","4","h",2650000,"S","Marshall","03-09-16",11,"3147","4","3","2",753,399,"2015","Boroondara",-37.8669,145.0767
"Ashburton","69 Albion Rd","3","h",1670000,"S","Jellis","03-12-16",11,"3147","3","2","2",599,220,"1930","Boroondara",-37.8673,145.0688
"Ashburton","3 Dunlop St","3","h",1555000,"S","Jellis","04-06-16",11,"3147","3","2","2",731,149,"1935","Boroondara",-37.8666,145.0676
"Ashburton","16a Nicholas St","3","h",1100000,"PI","Marshall","08-10-16",11,"3147","3","3","2",276,178,"2004","Boroondara",-37.8699,145.0778
"Ashburton","5 Nicholas St","3","h",1337000,"S","Buxton","08-10-16",11,"3147","3","1","2",583,112,"1950","Boroondara",-37.8685,145.0786
"Ashburton","115 Ashburn Gr","8","h",2950000,"S","hockingstuart","10-09-16",11,"3147","9","7","4",1472,618,"2009","Boroondara",-37.8729,145.0788
"Ashburton","33 Eleanor St","4","h",2215000,"SP","Marshall","10-09-16",11,"3147","4","2","1",681,210.5,"1940","Boroondara",-37.8612,145.0858
"Ashburton","1/1 Nairn St","3","h",1518000,"S","Jellis","10-09-16",11,"3147","3","2","2",516,145,"1920","Boroondara",-37.8675,145.0668
"Ashburton","9 Gona Ct","3","h",1710000,"S","hockingstuart","10-12-16",11,"3147","3","1","2",806,101,"1950","Boroondara",-37.8695,145.084
"Ashburton","45 Yuile St","3","h",1655000,"S","Jellis","10-12-16",11,"3147","3","1","3",780,152,"1940","Boroondara",-37.8599,145.0815
"Ashburton","47 Yuile St","4","h",1550000,"VB","Marshall","12-11-16",11,"3147","4","2","2",780,180,"1938","Boroondara",-37.86,145.0817
"Ashburton","6a Glen Rd","3","h",1662000,"S","Jellis","14-05-16",11,"3147","3","2","2",351,228,"2006","Boroondara",-37.8742,145.07
"Ashburton","18 Glen Rd","3","h",1665000,"S","Jellis","15-10-16",11,"3147","3","2","3",702,145,"1945","Boroondara",-37.8737,145.0695
"Ashburton","29A Yuile St","5","h",3510000,"S","Jellis","18-03-17",11,"3147","5","5","2",755,444,"2015","Boroondara",-37.8598,145.0796
"Ashburton","15 Comas Gr","5","h",2752000,"S","Jellis","22-08-16",11,"3147","6","4","2",1075,390,"2010","Boroondara",-37.8714,145.073
"Ashburton","3 Mustang Ct","3","h",1500000,"VB","Jellis","22-08-16",11,"3147","3","2","2",710,139,"1945","Boroondara",-37.8653,145.0897
"Ashburton","63 Dent St","4","h",1800000,"S","Jellis","25-02-17",11,"3147","4","2","4",749,206,"1950","Boroondara",-37.8669,145.077
"Ashburton","4 Vears Rd","3","h",1830000,"S","Jellis","25-02-17",11,"3147","3","2","3",724,168,"1940","Boroondara",-37.8619,145.0879
"Ashburton","14 Lucerne St","3","h",1415000,"S","Buxton","27-06-16",11,"3147","3","1","1",605,111,"1950","Boroondara",-37.8703,145.0774
"Ashburton","5 Pitt St","2","h",1440000,"PI","Jellis","27-06-16",11,"3147","2","1","1",687,104,"1940","Boroondara",-37.872,145.0692
"Ashburton","48 Nicholas St","5","h",1600000,"S","Marshall","27-11-16",11,"3147","5","3","4",700,266,"1950","Boroondara",-37.8724,145.0758
"Ashburton","5 Taylor St","4","h",1860000,"S","Jellis","27-11-16",11,"3147","4","2","3",696,274,"2000","Boroondara",-37.8711,145.0746
"Ashburton","33 Highgate Gr","4","h",1790000,"PI","hockingstuart","28-05-16",11,"3147","4","2","2",514,240,"1935","Boroondara",-37.8664,145.0772
"Ashburton","9 Pitt St","4","h",1950000,"S","Tim","28-05-16",11,"3147","4","2","2",844,278,"1940","Boroondara",-37.8715,145.0688
